,Day,10 %,25 %,50 %,75 %,90 %
0,0,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
1,1,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
2,2,1274144.0,1275088.0,1275116.0,1275116.0,1275116.0
3,3,1273386.0,1275080.0,1275116.0,1275116.0,1275116.0
4,4,1272694.0,1275068.0,1275112.0,1275116.0,1275116.0
5,5,1272168.0,1275064.0,1275112.0,1275116.0,1275116.0
6,6,1271674.0,1275052.0,1275112.0,1275116.0,1275116.0
7,7,1271266.0,1275042.0,1275112.0,1275116.0,1275116.0
8,8,1270820.0,1275042.0,1275112.0,1275116.0,1275116.0
9,9,1270422.0,1275030.0,1275112.0,1275116.0,1275116.0
10,10,1268790.0,1275026.0,1275108.0,1275116.0,1275116.0
11,11,1267944.0,1275018.0,1275106.0,1275116.0,1275116.0
12,12,1266868.0,1275008.0,1275106.0,1275116.0,1275116.0
13,13,1266048.0,1274994.0,1275106.0,1275116.0,1275116.0
14,14,1262608.0,1274638.0,1274998.0,1275116.0,1275116.0
15,15,1259028.0,1274150.0,1274912.0,1275116.0,1275116.0
16,16,1255192.0,1273598.0,1274818.0,1275116.0,1275116.0
17,17,1250574.0,1272996.0,1274646.0,1275116.0,1275116.0
18,18,1246092.0,1272454.0,1274578.0,1275116.0,1275116.0
19,19,1241010.0,1271772.0,1274500.0,1275116.0,1275116.0
20,20,1236540.0,1271304.0,1274428.0,1275116.0,1275116.0
21,21,1232632.0,1271074.0,1274378.0,1275116.0,1275116.0
22,22,1228600.0,1270678.0,1274332.0,1275116.0,1275116.0
23,23,1224212.0,1270248.0,1274282.0,1275116.0,1275116.0
24,24,1219188.0,1269758.0,1274206.0,1275116.0,1275116.0
25,25,1214900.0,1269356.0,1274160.0,1275116.0,1275116.0
26,26,1210002.0,1268736.0,1274092.0,1275116.0,1275116.0
27,27,1205122.0,1268258.0,1274046.0,1275116.0,1275116.0
28,28,1201232.0,1268036.0,1273994.0,1275116.0,1275116.0
29,29,1197426.0,1267676.0,1273928.0,1275116.0,1275116.0
30,30,1193612.0,1267292.0,1273864.0,1275116.0,1275116.0
31,31,1186752.0,1266828.0,1273784.0,1275116.0,1275116.0
