,Day,10 %,25 %,50 %,75 %,90 %
0,0,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
1,1,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
2,2,1275060.0,1275100.0,1275108.0,1275116.0,1275116.0
3,3,1275048.0,1275098.0,1275108.0,1275116.0,1275116.0
4,4,1275030.0,1275092.0,1275108.0,1275116.0,1275116.0
5,5,1275022.0,1275090.0,1275108.0,1275116.0,1275116.0
6,6,1275022.0,1275090.0,1275108.0,1275116.0,1275116.0
7,7,1275022.0,1275090.0,1275108.0,1275116.0,1275116.0
8,8,1275022.0,1275090.0,1275108.0,1275116.0,1275116.0
9,9,1275018.0,1275090.0,1275108.0,1275116.0,1275116.0
10,10,1275018.0,1275090.0,1275108.0,1275116.0,1275116.0
11,11,1275014.0,1275088.0,1275106.0,1275114.0,1275116.0
12,12,1275008.0,1275088.0,1275106.0,1275114.0,1275116.0
13,13,1275008.0,1275088.0,1275106.0,1275114.0,1275116.0
14,14,1274994.0,1275084.0,1275106.0,1275114.0,1275116.0
15,15,1274974.0,1275078.0,1275106.0,1275114.0,1275116.0
16,16,1274960.0,1275074.0,1275102.0,1275114.0,1275116.0
17,17,1274930.0,1275070.0,1275102.0,1275114.0,1275116.0
18,18,1274904.0,1275068.0,1275102.0,1275114.0,1275116.0
19,19,1274894.0,1275064.0,1275102.0,1275114.0,1275116.0
20,20,1274874.0,1275060.0,1275102.0,1275114.0,1275116.0
21,21,1274858.0,1275056.0,1275100.0,1275112.0,1275116.0
22,22,1274832.0,1275054.0,1275100.0,1275112.0,1275116.0
23,23,1274816.0,1275046.0,1275096.0,1275110.0,1275116.0
24,24,1274756.0,1275034.0,1275096.0,1275110.0,1275116.0
25,25,1274754.0,1275034.0,1275096.0,1275110.0,1275116.0
26,26,1274750.0,1275034.0,1275096.0,1275110.0,1275116.0
27,27,1274734.0,1275032.0,1275096.0,1275110.0,1275116.0
28,28,1274734.0,1275032.0,1275096.0,1275110.0,1275116.0
29,29,1274734.0,1275032.0,1275096.0,1275110.0,1275116.0
30,30,1274734.0,1275032.0,1275096.0,1275110.0,1275116.0
31,31,1274722.0,1275032.0,1275096.0,1275110.0,1275116.0
